session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,Implicit,Explicit,politics,education,racenum,filter_$
12750924,C,2010,21,6,f,4,4,,US,US,5,4,MN,1,0,0.41563150850082936,4,4,5,6,1
13919508,C,2010,18,6,f,4,4,,US,US,5,4,TX,1,0,0.06395613027007671,4,4,5,6,1
16914820,C,2012,72,5,m,4,4,,US,US,8,6,OR,0,0,-0.14379626086644684,4,6,8,5,1
10908801,C,2009,36,6,f,4,4,,US,US,5,6,FL,1,0,0.7062516907250365,4,6,5,6,1
13146395,C,2010,35,5,f,4,4,,US,US,6,4,PA,1,0,-0.22763526571016102,4,4,6,5,1
6618922,C,2007,33,6,f,5,5,,US,US,9,4,NY,1,0,-0.2521313495838464,5,4,9,6,1
2615359641,C,2014,13,6,m,4,4,,US,US,2,5,VA,0,0,0.19417335779639777,4,5,2,6,1
2619227630,C,2015,NA,NA,.,4,4,,-999,-999,NA,NA,,NA,1,-0.3256193731743782,4,NA,NA,NA,1
20148906,C,2013,19,5,f,4,4,,US,US,5,4,IL,1,0,0.2835964358652081,4,4,5,5,1
6141929,C,2007,39,6,f,4,4,,BR,US,7,4,IL,1,1,0.8036069284292149,4,4,7,6,1
19949923,C,2013,36,9,m,3,3,,PR,US,12,7,MD,0,1,0.03104819423794894,3,7,10,9,1
18050449,C,2012,60,5,f,3,3,,US,US,11,7,CA,1,0,0.1997717998887985,3,7,10,5,1
